Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000079658.10	227	505	210	282	935	94	369	391
ENSMUSG00000097744.3	27	22	27	14	43	4	13	29
ENSMUSG00000100959.2	4	6	16	5	9	0	1	24
ENSMUSG00000025940.7	175	523	247	164	776	77	320	411
ENSMUSG00000125087.1	6	5	24	13	6	4	0	10
ENSMUSG00000025779.11	53	66	52	45	72	3	39	52
ENSMUSG00000100093.2	0	0	0	3	0	0	0	0
ENSMUSG00000091020.4	14	1	8	4	6	0	0	36
ENSMUSG00000142287.1	26	17	14	9	22	4	20	50
ENSMUSG00000101640.2	0	0	10	0	0	0	0	1
ENSMUSG00000104133.2	12	6	14	4	1	2	4	9
ENSMUSG00000042686.6	109	445	68	77	243	2	186	331
ENSMUSG00000127806.1	6	21	8	6	3	0	8	39
ENSMUSG00000127769.1	8	13	9	3	1	0	3	17
ENSMUSG00000100110.3	14	30	11	0	10	0	6	46
ENSMUSG00000025777.9	120	190	236	38	90	20	66	268
ENSMUSG00000099899.3	22	3	7	12	9	2	6	22
ENSMUSG00000138285.1	9	9	9	17	2	0	0	34
ENSMUSG00000100272.2	1	0	0	2	0	2	0	5
ENSMUSG00000137468.1	13	12	2	5	3	0	0	22
ENSMUSG00000137506.1	9	1	7	4	4	1	0	7
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	14	10	6	10	6	2	2	18
ENSMUSG00000102048.2	7	14	25	2	3	7	8	16
ENSMUSG00000089534.3	4	0	4	7	1	1	4	5
ENSMUSG00000067780.4	35	60	76	44	76	13	59	93
ENSMUSG00000100053.3	13	34	28	9	26	0	7	26
ENSMUSG00000085125.9	102	40	106	37	26	22	24	110
ENSMUSG00000025776.14	102	132	128	91	126	44	152	148
ENSMUSG00000099895.2	7	6	13	1	8	1	3	24
ENSMUSG00000109887.3	25	15	29	3	12	2	3	60
ENSMUSG00000100554.2	10	10	16	22	2	2	5	36
ENSMUSG00000099473.2	7	0	4	6	0	0	0	3
ENSMUSG00000099591.2	29	13	19	2	8	0	10	26
ENSMUSG00000102001.2	0	3	0	2	0	0	2	6
ENSMUSG00000101717.3	2	2	4	0	1	0	0	8
ENSMUSG00000025774.15	38	52	37	13	18	7	8	76
ENSMUSG00000142595.1	15	20	25	7	5	1	3	32
ENSMUSG00000070977.5	1	0	4	0	0	0	5	3
ENSMUSG00000131994.1	0	2	9	0	1	1	0	7
ENSMUSG00000073735.2	1	0	4	0	4	0	0	1
ENSMUSG00000067773.7	2	2	2	7	3	1	5	6
ENSMUSG00000101685.2	12	0	16	0	7	0	1	4
ENSMUSG00000132263.1	14	1	13	3	6	2	3	14
ENSMUSG00000132383.1	4	12	16	1	6	3	0	35
ENSMUSG00000101306.2	2	10	8	4	7	0	8	17
ENSMUSG00000134916.1	17	1	7	0	0	0	0	3
ENSMUSG00000088800.4	0	0	0	0	0	0	0	2
ENSMUSG00000101644.2	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	3	3	1	0	0	0	0	7
ENSMUSG00000089787.4	20	20	19	6	2	2	13	26
ENSMUSG00000042596.8	8	2	5	2	0	1	0	18
ENSMUSG00000100720.2	10	12	17	3	2	2	6	32
ENSMUSG00000025927.14	41	31	59	15	17	2	15	85
ENSMUSG00000142982.1	0	0	0	0	0	0	1	0
ENSMUSG00000100538.3	21	20	46	21	3	0	1	31
ENSMUSG00000101117.2	1	0	6	0	0	0	0	0
ENSMUSG00000100204.2	13	13	51	3	4	0	0	49
ENSMUSG00002076883.1	2	0	0	0	1	0	0	1
ENSMUSG00000141106.1	4	4	21	0	0	0	0	14
ENSMUSG00000102597.2	15	23	18	4	6	1	3	57
ENSMUSG00000142065.1	1	2	11	3	2	0	1	7
ENSMUSG00000136536.1	27	17	25	0	12	1	7	38
ENSMUSG00000043760.17	94	181	291	102	87	20	44	333
ENSMUSG00000104095.2	23	50	43	9	14	6	20	86
ENSMUSG00000089914.4	10	14	30	1	7	3	8	9
ENSMUSG00000090142.3	8	5	16	4	6	3	2	9
ENSMUSG00000070175.3	7	6	5	3	0	0	1	2
ENSMUSG00000099906.3	19	46	19	7	21	6	16	52
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0
ENSMUSG00000133531.1	11	3	33	8	1	0	9	18
ENSMUSG00000025929.5	2	5	0	6	2	0	1	1
ENSMUSG00000041872.10	32	16	48	9	14	5	1	42
ENSMUSG00000041859.11	967	2594	1497	1704	7358	594	1726	2402
ENSMUSG00000099714.2	0	12	14	3	8	1	2	18
ENSMUSG00000102121.2	16	20	34	7	5	1	4	12
ENSMUSG00000088858.3	2	0	8	0	0	0	0	2
ENSMUSG00000097934.3	5	4	7	13	1	0	0	25
ENSMUSG00000025931.16	69	86	60	38	80	32	41	109
ENSMUSG00000077314.3	3	0	0	2	0	1	0	0
ENSMUSG00000133875.1	3	2	1	3	0	0	3	6
