Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000097970.2	1	6	0	0	2	0	2	6
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	1	9	0	0	1	0	0	0
ENSMUSG00000133147.1	0	0	0	0	0	0	0	0
ENSMUSG00000101226.2	4	0	2	1	2	1	5	11
ENSMUSG00000026158.12	220	575	263	285	1172	91	295	435
ENSMUSG00000138593.1	14	6	16	4	3	0	3	17
ENSMUSG00000097920.2	4	7	8	5	3	1	3	12
ENSMUSG00000099503.3	21	16	19	0	6	0	4	16
ENSMUSG00000142633.1	0	0	4	0	2	0	0	2
ENSMUSG00000026156.9	17	20	26	30	25	2	20	59
ENSMUSG00000026155.14	113	201	134	106	315	40	150	165
ENSMUSG00000141937.1	0	4	3	0	1	0	0	3
ENSMUSG00000141893.1	4	6	8	0	0	0	5	8
ENSMUSG00000026154.5	26	39	14	23	66	12	40	38
ENSMUSG00000102495.2	7	3	0	4	2	0	3	6
ENSMUSG00000026153.16	86	157	154	70	103	23	90	185
ENSMUSG00000143955.1	0	0	0	0	0	0	0	0
ENSMUSG00000102398.2	10	7	17	2	4	1	2	10
ENSMUSG00000122847.1	11	21	34	6	14	1	7	14
ENSMUSG00000097670.2	6	13	24	5	3	0	7	11
ENSMUSG00000026147.17	46	37	41	20	13	45	11	52
ENSMUSG00000026141.14	76	35	56	26	51	7	19	113
ENSMUSG00000125396.1	4	17	17	4	3	1	5	14
ENSMUSG00000125434.1	5	7	6	0	2	0	4	0
ENSMUSG00000077463.3	0	0	2	1	1	0	0	0
ENSMUSG00000099997.2	9	9	12	5	4	1	0	6
ENSMUSG00000100131.2	2	1	0	0	0	0	0	0
ENSMUSG00000067736.3	1	0	0	2	0	0	0	3
ENSMUSG00000138098.1	0	0	0	0	0	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0	0	0
ENSMUSG00000101111.2	0	3	0	1	1	0	2	1
ENSMUSG00000100862.2	0	0	0	1	0	0	0	1
ENSMUSG00000102070.2	0	1	0	1	0	0	0	2
ENSMUSG00000101249.2	5	3	3	0	1	0	2	4
ENSMUSG00000127021.1	2	0	0	1	0	1	2	6
ENSMUSG00000073725.9	231	478	274	199	795	103	313	424
ENSMUSG00000133176.1	1	0	3	0	0	0	0	7
ENSMUSG00000129414.1	2	1	0	1	0	0	0	0
ENSMUSG00000143216.1	1	6	6	8	4	0	4	12
ENSMUSG00000100808.2	2	0	1	1	0	0	1	3
ENSMUSG00000130976.1	6	1	0	4	0	0	5	7
