Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000101652.2	1	5	0	1	1	2	4	6
ENSMUSG00000100814.2	4	0	2	0	2	0	0	3
ENSMUSG00000132745.1	32	7	32	11	10	2	4	29
ENSMUSG00000132786.1	11	2	7	4	3	0	1	19
ENSMUSG00000025925.15	196	441	260	252	657	57	206	332
ENSMUSG00000104379.2	7	16	0	4	4	2	4	12
ENSMUSG00000032719.5	3	51	2	0	1	0	4	8
ENSMUSG00002076565.1	2	4	11	0	4	0	0	12
ENSMUSG00000137819.1	2	3	10	6	1	1	0	6
ENSMUSG00000100652.2	4	4	14	2	8	0	4	20
ENSMUSG00000067795.14	14	6	14	7	7	2	10	22
ENSMUSG00000136711.1	14	13	4	10	0	0	3	7
ENSMUSG00000043716.14	728	2418	942	1432	3720	466	1446	1427
ENSMUSG00000025921.8	110	201	180	158	265	54	113	183
ENSMUSG00000132226.1	8	1	17	4	4	0	6	19
ENSMUSG00000104165.2	31	20	18	23	8	2	0	21
ENSMUSG00000100868.2	9	9	17	8	2	0	0	2
ENSMUSG00000025920.20	182	387	198	147	401	43	270	347
ENSMUSG00000089982.9	12	14	29	6	10	5	4	17
ENSMUSG00000025939.20	218	372	284	355	745	115	349	361
ENSMUSG00000102457.2	0	10	28	10	14	5	4	17
ENSMUSG00000079658.10	254	506	220	289	952	99	424	408
ENSMUSG00000097744.3	31	22	28	13	44	4	13	36
ENSMUSG00000100959.2	4	6	16	5	9	0	1	24
ENSMUSG00000025940.7	186	529	246	160	783	81	331	402
ENSMUSG00000125087.1	5	5	24	13	5	4	2	11
ENSMUSG00000025779.11	54	65	54	48	74	3	38	53
ENSMUSG00000100093.2	0	0	0	3	0	0	0	0
ENSMUSG00000091020.4	14	2	8	5	13	0	0	34
ENSMUSG00000142287.1	26	18	14	9	22	4	20	49
ENSMUSG00000101640.2	1	0	10	0	0	0	0	1
ENSMUSG00000104133.2	16	6	16	4	1	2	5	9
ENSMUSG00000042686.6	118	450	68	82	267	2	196	345
ENSMUSG00000127806.1	8	21	7	6	4	0	8	38
ENSMUSG00000127769.1	8	13	9	4	1	0	3	17
ENSMUSG00000100110.3	14	30	11	0	10	0	6	45
ENSMUSG00000025777.9	129	191	238	39	90	24	67	268
ENSMUSG00000099899.3	22	3	7	11	11	2	6	22
ENSMUSG00000138285.1	9	9	9	17	2	0	0	34
ENSMUSG00000100272.2	1	0	0	2	0	2	0	5
ENSMUSG00000137468.1	15	11	2	5	3	0	0	19
ENSMUSG00000137506.1	9	1	7	4	4	1	0	7
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	23	13	11	13	19	3	4	20
ENSMUSG00000102048.2	7	14	25	2	3	7	8	16
ENSMUSG00000089534.3	4	0	5	7	1	1	4	5
ENSMUSG00000067780.4	43	69	78	44	75	15	64	100
ENSMUSG00000100053.3	13	36	28	9	26	0	7	27
ENSMUSG00000085125.9	111	48	98	40	25	23	26	110
ENSMUSG00000025776.14	112	135	125	94	131	46	161	146
ENSMUSG00000099895.2	11	6	12	1	8	1	3	23
ENSMUSG00000109887.3	25	11	36	3	12	2	3	58
ENSMUSG00000100554.2	10	10	16	22	4	2	5	36
ENSMUSG00000099473.2	7	0	4	6	0	0	0	3
ENSMUSG00000099591.2	30	13	19	2	8	0	10	24
ENSMUSG00000102001.2	0	3	0	2	0	0	2	6
ENSMUSG00000101717.3	2	2	4	0	1	0	0	8
ENSMUSG00000025774.15	41	52	37	13	18	6	8	76
ENSMUSG00000142595.1	15	20	27	7	5	1	3	32
ENSMUSG00000070977.5	3	0	4	0	0	0	5	3
ENSMUSG00000131994.1	0	2	9	0	1	1	0	6
ENSMUSG00000073735.2	1	0	4	0	4	0	0	1
ENSMUSG00000067773.7	2	2	2	7	3	1	5	5
ENSMUSG00000101685.2	14	0	16	0	7	0	1	4
ENSMUSG00000132263.1	14	1	13	3	6	2	3	14
ENSMUSG00000132383.1	6	12	16	1	6	3	0	36
ENSMUSG00000101306.2	2	10	8	4	7	0	8	17
ENSMUSG00000134916.1	17	1	7	0	0	0	0	3
ENSMUSG00000088800.4	0	0	0	0	0	0	0	2
ENSMUSG00000101644.2	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	3	3	1	0	0	0	0	7
ENSMUSG00000089787.4	23	20	19	6	2	2	13	24
ENSMUSG00000042596.8	10	2	5	2	0	1	0	18
ENSMUSG00000100720.2	10	14	22	8	10	2	6	34
ENSMUSG00000025927.14	45	31	57	15	23	2	15	84
ENSMUSG00000142982.1	0	0	0	0	0	0	1	0
ENSMUSG00000100538.3	23	19	46	21	3	0	2	32
ENSMUSG00000101117.2	1	0	6	0	0	0	0	0
ENSMUSG00000100204.2	16	18	54	14	14	2	2	46
ENSMUSG00002076883.1	2	0	0	0	1	0	0	1
ENSMUSG00000141106.1	3	4	21	0	0	0	0	14
ENSMUSG00000102597.2	16	23	18	4	6	1	3	55
ENSMUSG00000142065.1	1	2	11	3	2	0	3	7
ENSMUSG00000136536.1	27	16	25	0	12	1	7	36
ENSMUSG00000043760.17	100	182	296	104	88	21	49	340
ENSMUSG00000104095.2	23	50	39	8	14	6	24	87
ENSMUSG00000089914.4	10	17	30	1	7	3	10	10
ENSMUSG00000090142.3	6	5	16	4	6	2	2	9
ENSMUSG00000070175.3	7	6	5	3	0	0	1	2
ENSMUSG00000099906.3	29	46	19	7	21	6	18	52
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0
ENSMUSG00000133531.1	12	3	33	8	2	0	9	19
ENSMUSG00000025929.5	2	5	0	6	2	0	1	1
ENSMUSG00000041872.10	33	16	53	9	14	5	1	42
ENSMUSG00000041859.11	1019	2588	1496	1697	7315	595	1802	2408
ENSMUSG00000099714.2	0	12	14	3	8	1	2	18
ENSMUSG00000102121.2	16	20	34	10	6	1	6	12
ENSMUSG00000088858.3	2	0	8	0	0	0	0	2
ENSMUSG00000097934.3	5	4	7	13	1	0	0	26
ENSMUSG00000025931.16	69	87	60	38	87	32	45	109
ENSMUSG00000077314.3	3	0	0	2	0	1	0	0
ENSMUSG00000133875.1	3	2	1	3	0	0	3	6
ENSMUSG00000100929.2	1	0	6	0	0	2	1	2
ENSMUSG00000041809.6	24	59	63	18	31	10	24	56
ENSMUSG00000041779.6	207	351	388	441	637	162	432	259
ENSMUSG00000137435.1	5	7	10	10	0	0	2	7
ENSMUSG00000099971.2	0	0	4	7	0	0	0	3
ENSMUSG00000129840.1	17	6	4	3	0	0	0	8
ENSMUSG00000100819.2	1	0	3	0	0	0	0	0
ENSMUSG00000129885.1	13	8	24	7	12	0	10	59
ENSMUSG00000099343.3	17	16	4	4	6	0	0	9
ENSMUSG00000025933.16	16	44	29	27	73	11	24	19
ENSMUSG00000102633.2	8	3	10	12	12	4	5	32
ENSMUSG00000025934.16	23	46	32	17	34	9	16	60
ENSMUSG00000138037.1	0	0	0	0	0	0	0	0
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0
ENSMUSG00000121505.2	38	35	82	28	48	5	17	87
